Student ID,Subject,Previous Score,Time Left,Subject Importance,Preferred Learning Style
5.0,Physics,91.0,35.0,5.0,Lectures
5.0,Geography,72.0,21.0,2.0,Reading
5.0,History,70.0,42.0,3.0,Practice-Practical
5.0,Computer Science,83.0,19.0,4.0,Lectures
5.0,Physics,82.0,17.0,5.0,Practice-Visual
5.0,History,71.0,30.0,5.0,Practical
5.0,Chemistry,64.0,52.0,4.0,Lectures
5.0,History,78.0,34.0,2.0,Practice-Lectures
5.0,Biology,76.0,20.0,5.0,Lectures
5.0,Mathematics,76.0,28.0,5.0,Reading
5.0,History,77.0,33.0,2.0,Practice
5.0,Mathematics,65.0,19.0,4.0,Practice
5.0,Economics,73.0,32.0,3.0,Visual
5.0,Physics,73.0,36.0,5.0,Visual
5.0,Mathematics,61.0,22.0,4.0,Practice
6.0,Physics,87.0,13.0,5.0,Practical
6.0,Mathematics,76.0,20.0,5.0,Visual-Practical
6.0,Chemistry,72.0,30.0,4.0,Lectures
6.0,Computer Science,81.0,27.0,5.0,Visual-Practice
6.0,Geography,72.0,34.0,4.0,Practice-Reading
6.0,Geography,79.0,34.0,1.0,Reading
6.0,Economics,81.0,32.0,2.0,Reading
6.0,English,68.0,33.0,5.0,Reading
6.0,Mathematics,82.0,18.0,4.0,Practical
6.0,English,78.0,26.0,3.0,Reading-Practice
6.0,Geography,76.0,43.0,1.0,Lectures
6.0,Computer Science,78.0,32.0,5.0,Lectures
6.0,Mathematics,93.0,20.0,5.0,Practice-Reading
6.0,Biology,90.0,44.0,4.0,Lectures
6.0,Mathematics,82.0,38.0,5.0,Lectures-Reading
6.0,Economics,69.0,30.0,1.0,Practice
6.0,Science,83.0,22.0,4.0,Practical
6.0,Mathematics,76.0,38.0,5.0,Practice-Visual
6.0,Computer Science,73.0,20.0,5.0,Visual
6.0,History,90.0,17.0,3.0,Practical-Reading
7.0,Science,87.0,47.0,5.0,Practical-Lectures
7.0,English,73.0,26.0,5.0,Lectures-Reading
7.0,Physics,64.0,21.0,5.0,Lectures-Visual
7.0,History,72.0,38.0,3.0,Visual-Practical
7.0,Geography,53.0,29.0,2.0,Practice-Reading
7.0,Economics,75.0,56.0,2.0,Reading-Lectures
7.0,Physics,74.0,14.0,5.0,Visual-Reading
7.0,Science,70.0,32.0,5.0,Practice-Lectures
7.0,Mathematics,75.0,27.0,5.0,Practice-Visual
7.0,Geography,71.0,15.0,2.0,Practice
7.0,English,71.0,44.0,2.0,Visual
7.0,Science,78.0,29.0,5.0,Practice
7.0,Physics,81.0,34.0,5.0,Reading-Practice
7.0,Mathematics,78.0,40.0,5.0,Lectures
7.0,English,71.0,19.0,2.0,Lectures
7.0,Biology,69.0,18.0,4.0,Practice-Reading
7.0,Economics,81.0,37.0,4.0,Practice-Visual
7.0,Chemistry,70.0,32.0,5.0,Visual
7.0,Science,73.0,46.0,5.0,Practice
7.0,Physics,59.0,44.0,4.0,Practice
8.0,History,66.0,32.0,5.0,Practical-Reading
8.0,English,63.0,28.0,1.0,Practice-Visual
8.0,Mathematics,76.0,30.0,4.0,Practical-Reading
8.0,Geography,73.0,43.0,5.0,Visual-Reading
8.0,Economics,99.0,38.0,2.0,Lectures-Reading
8.0,Physics,76.0,28.0,5.0,Practical-Lectures
8.0,Physics,68.0,44.0,5.0,Practice-Visual
8.0,Computer Science,77.0,25.0,5.0,Lectures
8.0,Economics,68.0,27.0,3.0,Visual
8.0,Biology,88.0,16.0,3.0,Reading
8.0,Science,95.0,32.0,5.0,Visual
8.0,Biology,89.0,34.0,4.0,Reading-Visual
8.0,Science,68.0,48.0,5.0,Practical-Visual
8.0,Physics,87.0,29.0,5.0,Visual-Reading
8.0,Computer Science,70.0,30.0,4.0,Practical
8.0,History,64.0,18.0,1.0,Practice-Practical
8.0,Mathematics,70.0,26.0,5.0,Lectures-Visual
8.0,Computer Science,83.0,13.0,5.0,Visual-Practical
8.0,Science,69.0,18.0,5.0,Visual-Practical
8.0,Geography,90.0,31.0,3.0,Visual
9.0,Biology,55.0,17.0,3.0,Visual
9.0,Geography,73.0,19.0,4.0,Reading
9.0,Chemistry,73.0,32.0,5.0,Practice-Reading
9.0,Chemistry,66.0,38.0,4.0,Practice-Reading
9.0,Geography,60.0,31.0,3.0,Practice
9.0,Chemistry,63.0,39.0,5.0,Visual-Practical
9.0,Economics,67.0,56.0,4.0,Lectures
9.0,Mathematics,78.0,33.0,5.0,Lectures
9.0,Chemistry,81.0,37.0,4.0,Practice-Reading
9.0,Chemistry,70.0,42.0,5.0,Visual
9.0,Mathematics,87.0,30.0,5.0,Lectures-Visual
9.0,Science,72.0,7.0,5.0,Lectures-Visual
9.0,Biology,65.0,20.0,5.0,Visual-Practice
9.0,Geography,69.0,15.0,2.0,Reading-Lectures
9.0,Science,66.0,18.0,4.0,Lectures
9.0,Science,87.0,27.0,5.0,Lectures-Practice
9.0,History,66.0,28.0,1.0,Lectures-Practical
9.0,Physics,72.0,31.0,4.0,Reading
9.0,Physics,86.0,34.0,4.0,Visual
9.0,Biology,71.0,37.0,1.0,Visual
10.0,Science,68.0,31.0,4.0,Reading-Visual
10.0,Chemistry,81.0,31.0,5.0,Lectures
10.0,Chemistry,76.0,21.0,5.0,Reading
10.0,Chemistry,84.0,28.0,5.0,Lectures
10.0,Biology,95.0,20.0,1.0,Practical-Visual
10.0,Economics,74.0,50.0,5.0,Reading
10.0,History,68.0,40.0,4.0,Lectures
10.0,Science,69.0,39.0,5.0,Lectures-Visual
10.0,Economics,66.0,18.0,3.0,Lectures-Practice
10.0,Mathematics,75.0,28.0,4.0,Reading
10.0,Science,87.0,38.0,5.0,Reading
10.0,Physics,64.0,26.0,5.0,Practice
10.0,English,52.0,18.0,2.0,Practice
10.0,History,73.0,36.0,3.0,Practice-Visual
10.0,English,82.0,29.0,5.0,Reading-Visual
10.0,Economics,103.0,28.0,3.0,Lectures
10.0,Science,77.0,37.0,5.0,Practice
10.0,History,81.0,13.0,4.0,Practice
10.0,Geography,66.0,37.0,2.0,Practical
10.0,Biology,89.0,32.0,3.0,Lectures-Practical
11.0,History,66.0,47.0,5.0,Practical-Reading
11.0,History,79.0,8.0,4.0,Lectures-Practical
11.0,Science,63.0,22.0,5.0,Visual-Practice
11.0,Geography,84.0,40.0,1.0,Practical
11.0,Biology,73.0,30.0,2.0,Reading
11.0,Computer Science,86.0,26.0,4.0,Practice-Visual
11.0,Computer Science,59.0,52.0,4.0,Practical
11.0,Computer Science,83.0,33.0,4.0,Practical
11.0,Biology,67.0,26.0,2.0,Reading
11.0,Chemistry,63.0,36.0,4.0,Practical
11.0,Mathematics,87.0,31.0,5.0,Practical-Practice
11.0,Physics,76.0,29.0,5.0,Visual
11.0,Science,73.0,20.0,5.0,Practice
11.0,Mathematics,77.0,38.0,5.0,Lectures
11.0,Computer Science,70.0,48.0,4.0,Practice
11.0,Geography,69.0,27.0,2.0,Lectures
11.0,Computer Science,82.0,26.0,5.0,Lectures
11.0,Science,81.0,31.0,5.0,Reading
11.0,Biology,71.0,38.0,4.0,Practical
11.0,Mathematics,83.0,23.0,5.0,Practice
12.0,Science,64.0,29.0,4.0,Visual-Lectures
12.0,English,84.0,27.0,3.8680190333082893,Lectures
12.0,Geography,81.0,36.0,3.0,Reading-Lectures
12.0,Computer Science,83.0,35.0,4.0,Lectures
12.0,Economics,76.0,30.0,5.0,Lectures
12.0,Physics,84.0,20.0,5.0,Practice
12.0,Science,84.0,14.0,5.0,Practice-Visual
12.0,Computer Science,72.0,40.0,4.0,Lectures
12.0,History,83.0,13.0,4.0,Lectures-Practice
12.0,Biology,77.0,32.0,3.0,Visual
12.0,Geography,99.0,35.0,5.0,Visual
12.0,History,85.0,20.0,5.0,Practical-Visual
12.0,Biology,87.0,45.0,2.0,Lectures-Practical
12.0,English,89.0,26.0,2.0,Reading
12.0,Science,85.0,17.0,4.0,Practical-Practice
12.0,Science,69.0,29.0,5.0,Lectures-Reading
12.0,Chemistry,110.0,21.0,4.0,Reading
12.0,Geography,61.0,30.0,5.0,Lectures
12.0,Economics,65.0,17.0,2.0,Reading-Lectures
12.0,Physics,82.0,38.0,5.0,Reading-Practice
13.0,Physics,73.0,16.0,5.0,Reading-Lectures
13.0,Geography,60.0,21.0,2.0,Practice-Visual
13.0,Physics,77.0,40.0,4.0,Practice-Practical
13.0,Biology,96.0,33.0,2.0,Lectures
13.0,Biology,68.0,4.0,4.0,Practice-Reading
13.0,Geography,59.0,46.0,4.0,Reading
13.0,Science,57.0,11.0,5.0,Practical
13.0,Geography,72.0,22.0,5.0,Reading-Lectures
13.0,Geography,63.0,41.0,2.0,Practice
13.0,Science,70.0,16.0,5.0,Lectures-Reading
13.0,Computer Science,63.0,31.0,5.0,Visual-Lectures
13.0,Geography,61.0,24.0,5.0,Lectures
13.0,Physics,80.0,38.0,5.0,Visual-Practice
13.0,Science,92.0,33.0,5.0,Practice
13.0,Economics,85.0,37.0,3.0,Visual
13.0,English,79.0,50.0,3.0,Lectures
13.0,History,59.0,27.0,1.0,Practical-Practice
13.0,Computer Science,63.0,39.0,4.0,Lectures-Practice
13.0,Biology,65.0,25.0,4.0,Practical
13.0,Chemistry,74.0,37.0,5.0,Practical-Reading
14.0,Computer Science,73.0,37.0,4.0,Lectures-Practical
14.0,Science,69.0,36.0,5.0,Lectures-Reading
14.0,Physics,68.0,41.0,4.0,Practical
14.0,Economics,95.0,40.0,4.0,Reading
14.0,Science,74.0,21.0,5.0,Reading-Lectures
14.0,Economics,66.0,31.0,5.0,Reading-Visual
14.0,English,80.0,28.0,1.0,Reading-Lectures
14.0,Science,90.0,39.0,5.0,Practice-Lectures
14.0,Mathematics,85.0,36.0,5.0,Lectures
14.0,History,56.0,25.0,3.0,Visual-Practice
14.0,English,96.0,15.0,5.0,Reading
14.0,Computer Science,64.0,31.0,5.0,Practical-Practice
14.0,English,84.0,13.0,5.0,Lectures-Practical
14.0,Geography,75.0,39.0,3.0,Practice-Practical
14.0,Economics,85.0,28.0,5.0,Practical
14.0,Chemistry,81.0,24.0,5.0,Reading
14.0,History,78.0,40.0,5.0,Practice-Visual
14.0,Science,98.0,33.0,5.0,Lectures-Visual
14.0,Mathematics,67.0,15.0,4.0,Reading
14.0,Mathematics,87.0,27.0,5.0,Visual-Lectures
15.0,Geography,83.0,50.0,5.0,Visual-Reading
15.0,Geography,57.0,23.0,1.0,Visual-Lectures
15.0,Physics,64.0,27.0,4.0,Reading
15.0,History,65.0,34.0,2.0,Practice-Visual
15.0,English,81.0,26.0,1.0,Reading
15.0,Geography,73.0,28.0,3.8680190333082893,Practical-Visual
15.0,Economics,73.0,20.0,5.0,Lectures
15.0,Physics,75.0,32.0,4.0,Visual-Lectures
15.0,Physics,94.0,26.0,4.0,Reading-Practical
15.0,Science,87.0,32.0,4.0,Visual-Practical
15.0,Science,81.0,29.0,4.0,Practice
15.0,Physics,91.0,28.0,4.0,Practical-Lectures
15.0,Physics,92.0,18.0,4.0,Reading-Visual
15.0,Chemistry,81.0,27.0,5.0,Lectures-Practice
15.0,English,79.0,37.0,4.0,Practice
15.0,Mathematics,82.0,23.0,5.0,Lectures
15.0,Geography,82.0,26.0,2.0,Lectures-Practice
15.0,Science,59.0,19.0,4.0,Reading-Visual
15.0,Mathematics,87.0,34.0,5.0,Lectures
15.0,Mathematics,63.0,13.0,5.0,Visual-Lectures
16.0,Geography,80.0,31.0,5.0,Visual-Reading
16.0,History,76.0,20.0,5.0,Lectures-Practical
16.0,Physics,60.0,18.0,5.0,Reading
16.0,Geography,73.0,7.0,3.0,Lectures-Practical
16.0,Computer Science,67.0,19.0,5.0,Practical
16.0,Geography,70.0,36.0,4.0,Practice
16.0,Biology,87.0,21.0,2.0,Lectures-Reading
16.0,Biology,79.0,1.0,3.0,Practice
16.0,History,69.0,19.0,3.0,Lectures
16.0,Economics,82.0,28.0,4.0,Visual
16.0,Computer Science,76.0,12.0,4.0,Practice-Lectures
16.0,Computer Science,73.0,30.0,4.0,Practical
16.0,Biology,79.0,33.0,5.0,Practical
16.0,Chemistry,79.0,20.0,4.0,Lectures
16.0,History,73.0,18.0,5.0,Lectures-Practice
16.0,Biology,69.0,32.0,1.0,Practice
16.0,Biology,76.0,35.0,5.0,Practice-Practical
16.0,Economics,83.0,36.0,3.0,Practice-Visual
16.0,Biology,74.0,21.0,1.0,Practice-Visual
16.0,Physics,78.0,48.0,4.0,Lectures-Reading
17.0,Geography,74.0,26.0,4.0,Visual-Reading
17.0,Chemistry,58.0,48.0,5.0,Reading-Lectures
17.0,Biology,60.0,41.0,3.0,Visual-Reading
17.0,Biology,77.0,25.0,4.0,Reading
17.0,Physics,80.0,24.0,4.0,Lectures
17.0,Chemistry,73.0,23.0,5.0,Visual
17.0,Biology,97.0,28.0,1.0,Reading-Visual
17.0,Science,95.0,18.0,5.0,Visual-Lectures
17.0,History,75.0,22.0,4.0,Reading-Visual
17.0,Mathematics,84.0,25.0,5.0,Visual
17.0,Geography,71.0,26.0,2.0,Visual
17.0,English,66.0,28.0,3.0,Practice
17.0,Mathematics,54.0,32.0,4.0,Reading
17.0,Physics,69.0,23.0,5.0,Lectures-Reading
17.0,Science,61.0,30.0,4.0,Practice-Reading
17.0,Mathematics,74.0,35.0,4.0,Reading
17.0,Mathematics,84.0,17.0,5.0,Lectures
17.0,English,80.0,43.0,5.0,Reading
17.0,History,73.0,37.0,4.0,Visual-Lectures
17.0,Biology,69.0,27.0,5.0,Practice-Practical
18.0,History,93.0,27.0,4.0,Visual
18.0,English,72.0,36.0,2.0,Visual
18.0,Geography,76.0,37.0,3.0,Practical
18.0,Economics,89.0,19.0,3.0,Lectures
18.0,Geography,66.0,21.0,1.0,Lectures-Reading
18.0,Mathematics,81.0,28.0,4.0,Practical-Reading
18.0,Physics,70.0,33.0,5.0,Visual-Reading
18.0,Geography,83.0,49.0,3.0,Practical
18.0,Geography,82.0,36.0,4.0,Reading-Practical
18.0,Mathematics,87.0,26.0,4.0,Practical
18.0,Economics,71.0,39.0,3.0,Visual
18.0,Physics,73.0,32.0,4.0,Reading-Lectures
18.0,Economics,71.0,40.0,4.0,Lectures-Visual
18.0,Physics,71.0,31.0,5.0,Lectures
18.0,Science,92.0,18.0,4.0,Visual-Practical
18.0,History,89.0,31.0,1.0,Practical
18.0,Science,83.0,12.0,4.0,Lectures-Reading
18.0,Economics,63.0,28.0,3.0,Practice-Lectures
18.0,Economics,101.0,31.0,4.0,Practical
18.0,English,82.0,32.0,2.0,Visual
19.0,English,61.0,31.0,5.0,Practical-Lectures
19.0,History,91.0,36.0,1.0,Visual
19.0,Science,85.0,26.0,5.0,Lectures
19.0,Geography,73.0,25.0,5.0,Lectures-Reading
19.0,Mathematics,75.0,39.0,5.0,Lectures
19.0,History,74.0,16.0,3.0,Reading
19.0,English,74.0,45.0,2.0,Practice-Visual
19.0,Science,81.0,37.0,5.0,Lectures-Practice
19.0,Chemistry,71.0,33.0,5.0,Practice
19.0,Physics,71.0,24.0,5.0,Reading
19.0,Economics,91.0,41.0,3.0,Lectures
19.0,Chemistry,91.0,29.0,5.0,Practice-Reading
19.0,English,72.0,25.0,5.0,Reading
19.0,History,78.0,35.0,1.0,Visual
19.0,Mathematics,90.0,35.0,5.0,Practice
19.0,Chemistry,67.0,36.0,5.0,Lectures
19.0,Computer Science,84.0,52.0,5.0,Visual
19.0,History,64.0,15.0,1.0,Lectures
19.0,Physics,70.0,19.0,5.0,Practice
19.0,Geography,75.0,34.0,5.0,Practice
20.0,Chemistry,83.0,31.0,4.0,Lectures
20.0,English,66.0,48.0,5.0,Practice
20.0,Mathematics,70.0,33.0,4.0,Lectures
20.0,Physics,77.0,62.0,5.0,Reading-Visual
20.0,Mathematics,66.0,17.0,5.0,Visual
20.0,Chemistry,89.0,30.0,5.0,Lectures
20.0,Biology,70.0,28.0,5.0,Reading-Practice
20.0,Mathematics,63.0,19.0,5.0,Lectures-Practice
20.0,Geography,72.0,21.0,4.0,Lectures
20.0,Computer Science,87.0,41.0,5.0,Reading-Visual
20.0,Physics,79.0,19.0,5.0,Practical
20.0,Computer Science,56.0,25.0,5.0,Lectures
20.0,Science,63.0,35.0,5.0,Lectures-Practical
20.0,History,65.0,36.0,4.0,Lectures
20.0,Physics,62.0,38.0,5.0,Practical-Reading
20.0,Science,84.0,31.0,5.0,Lectures-Practical
20.0,Mathematics,64.0,36.0,5.0,Lectures
20.0,Science,90.0,35.0,5.0,Lectures
20.0,Mathematics,86.0,39.0,4.0,Reading-Practical
20.0,Economics,86.0,31.0,5.0,Reading
21.0,Chemistry,76.0,15.0,4.0,Practice
21.0,Computer Science,60.0,23.0,5.0,Lectures
21.0,Computer Science,68.0,29.0,5.0,Visual-Reading
21.0,Economics,64.0,37.0,2.0,Lectures
21.0,History,90.0,21.0,1.0,Practice
21.0,Physics,83.0,33.0,5.0,Visual
21.0,Physics,86.0,31.0,5.0,Practical-Reading
21.0,Biology,75.0,28.0,5.0,Visual-Practice
21.0,Computer Science,69.0,26.0,5.0,Practical
21.0,Economics,80.0,31.0,5.0,Practice-Lectures
21.0,Computer Science,69.0,31.0,5.0,Visual
21.0,Mathematics,71.0,32.0,5.0,Practical-Lectures
21.0,English,69.0,20.0,4.0,Visual
21.0,Mathematics,81.0,24.0,4.0,Practical-Lectures
21.0,History,54.0,48.0,5.0,Reading-Lectures
21.0,Mathematics,69.0,34.0,4.0,Practice-Visual
21.0,Chemistry,70.0,37.0,5.0,Reading-Lectures
21.0,Computer Science,93.0,26.0,5.0,Practice-Practical
21.0,English,82.0,46.0,1.0,Practice
21.0,English,57.0,29.0,1.0,Practice-Visual
22.0,Computer Science,92.0,35.0,4.0,Reading
22.0,Chemistry,83.0,26.0,5.0,Visual-Lectures
22.0,English,75.08080301129235,39.0,3.0,Lectures
22.0,History,76.0,51.0,1.0,Visual-Reading
22.0,Science,79.0,33.0,5.0,Practical
22.0,English,69.0,34.0,2.0,Visual-Practical
22.0,English,74.0,28.0,1.0,Practical
22.0,Geography,73.0,38.0,2.0,Practical-Lectures
22.0,Computer Science,89.0,27.0,5.0,Lectures-Reading
22.0,Physics,74.0,29.0,5.0,Practical-Visual
22.0,Science,61.0,31.0,4.0,Practical
22.0,Mathematics,66.0,29.0,5.0,Practical
22.0,Chemistry,75.0,44.0,5.0,Practice-Lectures
22.0,Science,52.0,31.0,5.0,Reading-Visual
22.0,Geography,62.0,20.0,1.0,Reading
22.0,Biology,75.0,34.0,5.0,Lectures-Practical
22.0,Chemistry,86.0,22.0,5.0,Reading
22.0,Economics,82.0,21.0,1.0,Practice-Lectures
22.0,Computer Science,61.0,28.0,5.0,Lectures-Visual
22.0,Mathematics,66.0,47.0,5.0,Practice-Lectures
23.0,History,70.0,28.0,4.0,Reading-Practice
23.0,Physics,72.0,20.0,5.0,Visual-Practice
23.0,Geography,60.0,29.0,5.0,Lectures-Practical
23.0,Computer Science,72.0,39.0,4.0,Practical
23.0,Computer Science,83.0,36.0,5.0,Practical
23.0,Geography,82.0,23.0,2.0,Practical-Visual
23.0,Physics,61.0,27.0,5.0,Visual
23.0,Chemistry,66.0,13.0,4.0,Visual-Practical
23.0,Science,53.0,36.0,5.0,Practice-Lectures
23.0,Biology,69.0,17.0,2.0,Lectures
23.0,Biology,74.0,35.0,3.0,Practical
23.0,English,101.0,21.0,5.0,Practice-Visual
23.0,Biology,71.0,6.0,2.0,Lectures-Practical
23.0,Geography,67.0,25.0,3.0,Reading-Lectures
23.0,Geography,66.0,18.0,1.0,Lectures-Visual
23.0,History,61.0,19.0,5.0,Lectures-Visual
23.0,Chemistry,86.0,61.0,5.0,Visual
23.0,History,92.0,14.0,4.0,Practice
23.0,Geography,79.0,31.0,3.0,Practice-Practical
23.0,English,79.0,26.0,1.0,Visual-Practice
24.0,Biology,70.0,28.0,4.0,Practice-Visual
24.0,Physics,84.0,26.0,5.0,Visual-Practical
24.0,History,81.0,44.0,4.0,Practical-Reading
24.0,Economics,72.0,31.0,5.0,Practical
24.0,Chemistry,75.0,29.0,5.0,Practical
24.0,History,102.0,25.0,1.0,Practical
24.0,English,71.0,28.0,2.0,Practice-Reading
24.0,Geography,81.0,17.0,2.0,Practical-Practice
24.0,Geography,63.0,46.0,2.0,Reading-Visual
24.0,Economics,83.0,33.0,1.0,Reading
24.0,Computer Science,76.0,28.0,5.0,Visual
24.0,Computer Science,59.0,33.0,5.0,Reading-Practice
24.0,Biology,73.0,24.0,4.0,Lectures-Reading
24.0,English,81.0,35.0,3.0,Practical-Visual
24.0,English,70.0,30.0,4.0,Lectures
24.0,Biology,91.0,28.0,5.0,Practice
24.0,Economics,94.0,32.0,3.0,Practical-Lectures
24.0,Science,94.0,38.0,5.0,Practical-Visual
24.0,Physics,73.0,35.0,5.0,Reading-Visual
24.0,History,71.0,42.0,5.0,Lectures
25.0,History,62.0,21.0,2.0,Practical
25.0,Science,74.0,33.0,5.0,Lectures
25.0,Mathematics,82.0,22.0,4.0,Practical-Lectures
25.0,Biology,82.0,31.0,2.0,Practical
25.0,Chemistry,81.0,32.0,5.0,Practice-Lectures
25.0,Geography,93.0,21.0,5.0,Practice-Practical
25.0,Physics,67.0,21.0,5.0,Visual-Reading
25.0,Chemistry,72.0,34.0,5.0,Practice
25.0,Mathematics,70.0,51.0,5.0,Practice
25.0,Chemistry,73.0,21.0,5.0,Practical
25.0,Economics,76.0,21.0,1.0,Practice
25.0,Computer Science,69.0,47.0,5.0,Lectures-Practical
25.0,Chemistry,78.0,39.0,5.0,Lectures-Visual
25.0,Biology,86.0,45.0,3.0,Lectures-Visual
25.0,Biology,69.0,14.0,2.0,Lectures
25.0,Chemistry,86.0,38.0,4.0,Reading-Visual
25.0,Economics,72.0,14.0,3.0,Visual
25.0,English,81.0,25.0,5.0,Visual-Practical
25.0,Economics,78.0,37.0,5.0,Visual-Practical
25.0,History,86.0,33.0,1.0,Visual-Lectures
26.0,Economics,69.0,10.0,2.0,Lectures
26.0,Geography,79.0,11.0,5.0,Practical-Lectures
26.0,Economics,82.0,47.0,1.0,Reading
26.0,Science,84.0,34.0,4.0,Lectures-Reading
26.0,Chemistry,69.0,42.0,4.0,Reading
26.0,Science,75.0,23.0,5.0,Practice-Practical
26.0,Biology,85.0,24.0,4.0,Practical-Practice
26.0,Biology,69.0,23.0,1.0,Practical-Practice
26.0,Science,65.0,28.0,5.0,Practical-Visual
26.0,Mathematics,62.0,32.0,5.0,Visual-Reading
26.0,Chemistry,81.0,29.0,4.0,Visual-Reading
26.0,Chemistry,62.0,23.0,5.0,Lectures-Practical
26.0,Biology,60.0,6.0,1.0,Practice-Practical
26.0,Science,71.0,45.0,5.0,Reading-Practice
26.0,Physics,62.0,33.0,5.0,Lectures
26.0,Computer Science,81.0,26.0,5.0,Visual
26.0,Computer Science,78.0,20.0,5.0,Reading
26.0,Economics,74.0,24.0,5.0,Practical-Lectures
26.0,Chemistry,64.0,35.0,5.0,Practice-Practical
26.0,Economics,91.0,37.0,4.0,Visual-Lectures
27.0,Biology,74.0,40.0,5.0,Visual-Practical
27.0,English,49.0,36.0,3.0,Practical
27.0,Physics,93.0,19.0,5.0,Lectures-Practical
